"","group","item","class","name","parnum","value","lbound","ubound","est","prior.type","prior_1","prior_2"
"66","all","X17","dich","d",66,3.5969122918823,-Inf,Inf,TRUE,"none",NA,NA
"67","all","X17","dich","g",67,0,0,1,FALSE,"none",NA,NA
"68","all","X17","dich","u",68,1,0,1,FALSE,"none",NA,NA
"69","all","X18","dich","a1",69,0.851,-Inf,Inf,TRUE,"none",NA,NA
"691","all","X18","dich","a2",69,0.0631542791433301,-Inf,Inf,TRUE,"none",NA,NA
"692","all","X18","dich","a3",69,0.67675150600289,-Inf,Inf,TRUE,"none",NA,NA
"70","all","X18","dich","d",70,4.29635223697462,-Inf,Inf,TRUE,"none",NA,NA
"71","all","X18","dich","g",71,0,0,1,FALSE,"none",NA,NA
"72","all","X18","dich","u",72,1,0,1,FALSE,"none",NA,NA
"73","all","X19","dich","a1",73,0.851,-Inf,Inf,TRUE,"none",NA,NA
"731","all","X19","dich","a2",73,-0.558309698229412,-Inf,Inf,TRUE,"none",NA,NA
"732","all","X19","dich","a3",73,0.186713204667183,-Inf,Inf,TRUE,"none",NA,NA
"74","all","X19","dich","d",74,3.19535795508002,-Inf,Inf,TRUE,"none",NA,NA
"75","all","X19","dich","g",75,0,0,1,FALSE,"none",NA,NA
"76","all","X19","dich","u",76,1,0,1,FALSE,"none",NA,NA
"77","all","X20","dich","a1",77,0.851,-Inf,Inf,TRUE,"none",NA,NA
"771","all","X20","dich","a2",77,0.44896264125622,-Inf,Inf,TRUE,"none",NA,NA
"772","all","X20","dich","a3",77,0.438730814514039,-Inf,Inf,TRUE,"none",NA,NA
"78","all","X20","dich","d",78,3.91511903183562,-Inf,Inf,TRUE,"none",NA,NA
"79","all","X20","dich","g",79,0,0,1,FALSE,"none",NA,NA
"80","all","X20","dich","u",80,1,0,1,FALSE,"none",NA,NA
"81","all","X21","dich","a1",81,0.851,-Inf,Inf,TRUE,"none",NA,NA
"811","all","X21","dich","a2",81,0.556680024835406,-Inf,Inf,TRUE,"none",NA,NA
"812","all","X21","dich","a3",81,0.409396042597174,-Inf,Inf,TRUE,"none",NA,NA
"82","all","X21","dich","d",82,2.58495074343685,-Inf,Inf,TRUE,"none",NA,NA
"83","all","X21","dich","g",83,0,0,1,FALSE,"none",NA,NA
"84","all","X21","dich","u",84,1,0,1,FALSE,"none",NA,NA
"85","all","X22","dich","a1",85,0.851,-Inf,Inf,TRUE,"none",NA,NA
"851","all","X22","dich","a2",85,-0.578477079389906,-Inf,Inf,TRUE,"none",NA,NA
"852","all","X22","dich","a3",85,0.0259113534428335,-Inf,Inf,TRUE,"none",NA,NA
"86","all","X22","dich","d",86,3.59256744314056,-Inf,Inf,TRUE,"none",NA,NA
"87","all","X22","dich","g",87,0,0,1,FALSE,"none",NA,NA
"88","all","X22","dich","u",88,1,0,1,FALSE,"none",NA,NA
"89","all","X23","dich","a1",89,0.851,-Inf,Inf,TRUE,"none",NA,NA
"891","all","X23","dich","a2",89,0.76544215058029,-Inf,Inf,TRUE,"none",NA,NA
"892","all","X23","dich","a3",89,0.356341375987884,-Inf,Inf,TRUE,"none",NA,NA
"90","all","X23","dich","d",90,4.24448951853832,-Inf,Inf,TRUE,"none",NA,NA
"911","all","X23","dich","g",91,0,0,1,FALSE,"none",NA,NA
"921","all","X23","dich","u",92,1,0,1,FALSE,"none",NA,NA
"93","all","X24","dich","a1",93,0.851,-Inf,Inf,TRUE,"none",NA,NA
"931","all","X24","dich","a2",93,0.789523273752348,-Inf,Inf,TRUE,"none",NA,NA
"932","all","X24","dich","a3",93,0.555476284147374,-Inf,Inf,TRUE,"none",NA,NA
"94","all","X24","dich","d",94,3.03232145565194,-Inf,Inf,TRUE,"none",NA,NA
"95","all","X24","dich","g",95,0,0,1,FALSE,"none",NA,NA
"96","all","X24","dich","u",96,1,0,1,FALSE,"none",NA,NA
"97","all","X25","dich","a1",97,0.851,-Inf,Inf,TRUE,"none",NA,NA
"971","all","X25","dich","a2",97,-0.0116303587434129,-Inf,Inf,TRUE,"none",NA,NA
"972","all","X25","dich","a3",97,-0.264696894727355,-Inf,Inf,TRUE,"none",NA,NA
"98","all","X25","dich","d",98,3.01633113370724,-Inf,Inf,TRUE,"none",NA,NA
"99","all","X25","dich","g",99,0,0,1,FALSE,"none",NA,NA
"100","all","X25","dich","u",100,1,0,1,FALSE,"none",NA,NA
"101","all","X26","dich","a1",101,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1011","all","X26","dich","a2",101,1.23801769699591,-Inf,Inf,TRUE,"none",NA,NA
"1012","all","X26","dich","a3",101,0.130496624401151,-Inf,Inf,TRUE,"none",NA,NA
"102","all","X26","dich","d",102,4.85092435364643,-Inf,Inf,TRUE,"none",NA,NA
"103","all","X26","dich","g",103,0,0,1,FALSE,"none",NA,NA
"104","all","X26","dich","u",104,1,0,1,FALSE,"none",NA,NA
"105","all","X27","dich","a1",105,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1051","all","X27","dich","a2",105,-0.00302948649490771,-Inf,Inf,TRUE,"none",NA,NA
"1052","all","X27","dich","a3",105,0.160213918101162,-Inf,Inf,TRUE,"none",NA,NA
"106","all","X27","dich","d",106,4.78508268753093,-Inf,Inf,TRUE,"none",NA,NA
"107","all","X27","dich","g",107,0,0,1,FALSE,"none",NA,NA
"108","all","X27","dich","u",108,1,0,1,FALSE,"none",NA,NA
"109","all","X28","dich","a1",109,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1091","all","X28","dich","a2",109,0.576652222069782,-Inf,Inf,TRUE,"none",NA,NA
"1092","all","X28","dich","a3",109,-0.450049770091242,-Inf,Inf,TRUE,"none",NA,NA
"110","all","X28","dich","d",110,4.81732779801253,-Inf,Inf,TRUE,"none",NA,NA
"111","all","X28","dich","g",111,0,0,1,FALSE,"none",NA,NA
"112","all","X28","dich","u",112,1,0,1,FALSE,"none",NA,NA
"113","all","X29","dich","a1",113,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1131","all","X29","dich","a2",113,0.0385207279955438,-Inf,Inf,TRUE,"none",NA,NA
"1132","all","X29","dich","a3",113,0.505228368130252,-Inf,Inf,TRUE,"none",NA,NA
"114","all","X29","dich","d",114,4.20342163174358,-Inf,Inf,TRUE,"none",NA,NA
