"lambda1","lambda2","ndim","iteration","sparsity","rmse","bias"
0,0,1,20,0.95,0.126815262358941,-0.000715916935800362
0,0,1,3,0.85,0.0782247564956444,-0.000706424082034558
0,0,1,3,0.9,0.0940929330283692,0.000754529149568523
0,0,1,3,0.95,0.125377005453297,3.46515204027174e-05
0,0,1,4,0.85,0.0777588782232766,-0.000641135850183486
0,0,1,4,0.9,0.0944081159716861,0.000669139246061307
0,0,1,4,0.95,0.125622587483123,-0.000625710648516555
0,0,1,5,0.85,0.0778841064642213,-0.000166714454968246
0,0,1,5,0.9,0.0937138966309463,8.8736585781671e-05
0,0,1,5,0.95,0.124327919519016,0.000965940218268588
0,0,1,6,0.85,0.0781101929861164,6.94494956510276e-05
0,0,1,6,0.9,0.0945428319418859,0.000598720400170097
0,0,1,6,0.95,0.126034243214346,0.000445431313532813
0,0,1,7,0.85,0.0782376982324141,-0.000308361971189876
0,0,1,7,0.9,0.0932535958471512,0.000177656370442022
0,0,1,7,0.95,0.125678296225643,0.00164331610151502
0,0,1,8,0.85,0.0786633000200572,-0.000481760032206535
0,0,1,8,0.9,0.094049526868545,-0.000264145166257628
0,0,1,8,0.95,0.126308699843781,0.000454986897697797
0,0,1,9,0.85,0.078461536279892,0.000149029879583856
0,0,1,9,0.9,0.0942184000362844,0.000541188882719461
0,0,1,9,0.95,0.126843933058934,-0.000528027620698775
0,0,2,1,0.85,0.0958114299936851,0.000688392753247601
0,0,2,1,0.9,0.113623375100582,-0.00114060459712118
0,0,2,1,0.95,0.149527974573903,0.000697490722861715
0,0,2,10,0.85,0.0948660785593775,-0.000329188683444839
0,0,2,10,0.9,0.11313955046319,-0.00022605046281785
0,0,2,10,0.95,0.151197875599854,-0.00118939769888394
0,0,2,11,0.85,0.0960221014225912,0.000711143766041085
0,0,2,11,0.9,0.112825454156326,0.00136070853119695
0,0,2,11,0.95,0.150693968225101,-0.000756778789116672
0,0,2,12,0.85,0.0969273616641321,0.000211807236668366
0,0,2,12,0.9,0.113019343925485,-1.17454310269282e-05
0,0,2,12,0.95,0.151473230856207,0.000689636878150623
0,0,2,13,0.85,0.0952101350510712,-0.000248127052973103
0,0,2,13,0.9,0.113953016689376,-0.000113331200161851
0,0,2,13,0.95,0.150223543765115,0.00149155525456112
0,0,2,14,0.85,0.0963279765212927,0.000357023435681556
0,0,2,14,0.9,0.111452310484464,3.09809374248998e-05
0,0,2,14,0.95,0.148526501917517,-0.000738598905312472
0,0,2,15,0.85,0.0963686147281787,0.000440908635684835
0,0,2,15,0.9,0.113269110279275,-0.000590181201690911
0,0,2,15,0.95,0.150723573255686,-0.00148967280950526
0,0,2,16,0.85,0.0964576687777316,-0.000594534319577844
0,0,2,16,0.9,0.114783423715284,-0.000570165763062522
0,0,2,16,0.95,0.150812998531265,-0.00068595449484647
0,0,2,17,0.85,0.0957647195529851,-0.000316122310112287
0,0,2,17,0.9,0.114454943039742,0.00073065232031381
0,0,2,17,0.95,0.148904753566641,-0.000177726850701743
0,0,2,18,0.85,0.0964398879094848,0.000436218294678003
0,0,2,18,0.9,0.113527710530565,-2.80243831900208e-05
0,0,2,18,0.95,0.148709209114435,-0.00112083684005005
0,0,2,19,0.85,0.0958943586627407,-0.000200212376596726
0,0,2,19,0.9,0.114246389644049,0.000419184631478762
0,0,2,19,0.95,0.150291388587101,-0.000153940521668337
0,0,2,2,0.85,0.0968513571738953,0.00106145277743648
0,0,2,2,0.9,0.112400676711413,-0.00133418259543952
0,0,2,2,0.95,0.151214707797129,-0.000217230693681601
0,0,2,20,0.85,0.0955432888669822,-0.000275487211353096
0,0,2,20,0.9,0.113530839298174,0.00128378931025584
0,0,2,20,0.95,0.150705230120374,0.000834699370484445
0,0,2,3,0.85,0.0965756341048772,-0.00110133910224491
0,0,2,3,0.9,0.113096683733704,-0.000866851856518883
0,0,2,3,0.95,0.150388587263586,0.000564134228388875
0,0,2,4,0.85,0.0961409403085414,0.000692459714349829
0,0,2,4,0.9,0.113180642018962,-0.000249446052668677
0,0,2,4,0.95,0.149846426395765,-0.00259133850935212
0,0,2,5,0.85,0.0970638167581532,0.000899293743463887
0,0,2,5,0.9,0.113805404224363,-0.000101362214049293
0,0,2,5,0.95,0.149410296435451,-0.00251174141987882
0,0,2,6,0.85,0.0960738790899732,-0.000567806579642068
0,0,2,6,0.9,0.11248227318683,-3.65422556006587e-05
0,0,2,6,0.95,0.149536405161202,-0.00185246661930795
0,0,2,7,0.85,0.0961798955506186,0.00138195020459138
0,0,2,7,0.9,0.113067307993109,-0.000593594492208748
0,0,2,7,0.95,0.150467940300565,-0.000949392844056681
0,0,2,8,0.85,0.0969277732564798,0.000165360603386741
0,0,2,8,0.9,0.11447698495987,-0.000431572841290138
0,0,2,8,0.95,0.150942479924928,-0.00103414651474127
0,0,2,9,0.85,0.096560678984483,0.000600000846704116
0,0,2,9,0.9,0.112814711445973,0.000665069659852311
0,0,2,9,0.95,0.151643084109706,-0.000832648492501684
0,0,3,1,0.85,0.111751480708202,-0.00010698856448313
0,0,3,1,0.9,0.129708642365079,0.00143891979899699
0,0,3,1,0.95,0.167716229556381,0.0012060441094761
0,0,3,10,0.85,0.110031047151099,-0.000556308933165884
0,0,3,10,0.9,0.12875209126987,-0.000646779672761198
0,0,3,10,0.95,0.166648326744548,0.00142357975268906
0,0,3,11,0.85,0.110497213808138,0.000518310772022147
