"","group","item","class","name","parnum","value","lbound","ubound","est","prior.type","prior_1","prior_2"
"102","all","X26","dich","d",102,4.85092435364643,-Inf,Inf,TRUE,"none",NA,NA
"103","all","X26","dich","g",103,0,0,1,FALSE,"none",NA,NA
"104","all","X26","dich","u",104,1,0,1,FALSE,"none",NA,NA
"105","all","X27","dich","a1",105,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1051","all","X27","dich","a2",105,0.127833087002173,-Inf,Inf,TRUE,"none",NA,NA
"106","all","X27","dich","d",106,4.78508268753093,-Inf,Inf,TRUE,"none",NA,NA
"107","all","X27","dich","g",107,0,0,1,FALSE,"none",NA,NA
"108","all","X27","dich","u",108,1,0,1,FALSE,"none",NA,NA
"109","all","X28","dich","a1",109,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1091","all","X28","dich","a2",109,0.361106889673285,-Inf,Inf,TRUE,"none",NA,NA
"110","all","X28","dich","d",110,4.81732779801253,-Inf,Inf,TRUE,"none",NA,NA
"111","all","X28","dich","g",111,0,0,1,FALSE,"none",NA,NA
"112","all","X28","dich","u",112,1,0,1,FALSE,"none",NA,NA
"113","all","X29","dich","a1",113,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1131","all","X29","dich","a2",113,-0.398503289419985,-Inf,Inf,TRUE,"none",NA,NA
"114","all","X29","dich","d",114,4.20342163174358,-Inf,Inf,TRUE,"none",NA,NA
"115","all","X29","dich","g",115,0,0,1,FALSE,"none",NA,NA
"116","all","X29","dich","u",116,1,0,1,FALSE,"none",NA,NA
"117","all","X30","dich","a1",117,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1171","all","X30","dich","a2",117,0.870390175453512,-Inf,Inf,TRUE,"none",NA,NA
"118","all","X30","dich","d",118,4.96121564192969,-Inf,Inf,TRUE,"none",NA,NA
"119","all","X30","dich","g",119,0,0,1,FALSE,"none",NA,NA
"120","all","X30","dich","u",120,1,0,1,FALSE,"none",NA,NA
"121","all","X31","dich","a1",121,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1211","all","X31","dich","a2",121,-0.296013077593167,-Inf,Inf,TRUE,"none",NA,NA
"122","all","X31","dich","d",122,4.21148912167363,-Inf,Inf,TRUE,"none",NA,NA
"123","all","X31","dich","g",123,0,0,1,FALSE,"none",NA,NA
"124","all","X31","dich","u",124,1,0,1,FALSE,"none",NA,NA
"125","all","X32","dich","a1",125,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1251","all","X32","dich","a2",125,0.196052624812691,-Inf,Inf,TRUE,"none",NA,NA
"126","all","X32","dich","d",126,2.88783021442614,-Inf,Inf,TRUE,"none",NA,NA
"127","all","X32","dich","g",127,0,0,1,FALSE,"none",NA,NA
"128","all","X32","dich","u",128,1,0,1,FALSE,"none",NA,NA
"129","all","X33","dich","a1",129,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1291","all","X33","dich","a2",129,-0.662160416357173,-Inf,Inf,TRUE,"none",NA,NA
"130","all","X33","dich","d",130,6.47054624387976,-Inf,Inf,TRUE,"none",NA,NA
"1311","all","X33","dich","g",131,0,0,1,FALSE,"none",NA,NA
"132","all","X33","dich","u",132,1,0,1,FALSE,"none",NA,NA
"133","all","X34","dich","a1",133,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1331","all","X34","dich","a2",133,-0.194141781245014,-Inf,Inf,TRUE,"none",NA,NA
"134","all","X34","dich","d",134,2.68928460871741,-Inf,Inf,TRUE,"none",NA,NA
"135","all","X34","dich","g",135,0,0,1,FALSE,"none",NA,NA
"136","all","X34","dich","u",136,1,0,1,FALSE,"none",NA,NA
"137","all","X35","dich","a1",137,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1371","all","X35","dich","a2",137,-0.102055445143271,-Inf,Inf,TRUE,"none",NA,NA
"138","all","X35","dich","d",138,4.86826899935523,-Inf,Inf,TRUE,"none",NA,NA
"139","all","X35","dich","g",139,0,0,1,FALSE,"none",NA,NA
"140","all","X35","dich","u",140,1,0,1,FALSE,"none",NA,NA
"141","all","X36","dich","a1",141,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1411","all","X36","dich","a2",141,0.0496202185409728,-Inf,Inf,TRUE,"none",NA,NA
"142","all","X36","dich","d",142,3.37676339807279,-Inf,Inf,TRUE,"none",NA,NA
"143","all","X36","dich","g",143,0,0,1,FALSE,"none",NA,NA
"144","all","X36","dich","u",144,1,0,1,FALSE,"none",NA,NA
"145","all","X37","dich","a1",145,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1451","all","X37","dich","a2",145,0.46710901980762,-Inf,Inf,TRUE,"none",NA,NA
"146","all","X37","dich","d",146,6.47054624387976,-Inf,Inf,TRUE,"none",NA,NA
"147","all","X37","dich","g",147,0,0,1,FALSE,"none",NA,NA
"148","all","X37","dich","u",148,1,0,1,FALSE,"none",NA,NA
"149","all","X38","dich","a1",149,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1491","all","X38","dich","a2",149,0.83720642854903,-Inf,Inf,TRUE,"none",NA,NA
"150","all","X38","dich","d",150,5.40449607954962,-Inf,Inf,TRUE,"none",NA,NA
"151","all","X38","dich","g",151,0,0,1,FALSE,"none",NA,NA
"152","all","X38","dich","u",152,1,0,1,FALSE,"none",NA,NA
"153","all","X39","dich","a1",153,0.851,-Inf,Inf,TRUE,"none",NA,NA
